"ProjectId","ProjectName","ResourceId","ResourceName","nivelamento","StartDate_novo","AssignmentPeakUnits","dia","mes","ano","Nivelamento1","Nivelamento2","AjusteFino","LinhadeBase","Flag_corrente","Data_INICIO","Data_FIM"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-09-04",0,4,9,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-09-11",0,11,9,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-09-18",0,18,9,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-09-25",1,25,9,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-10-02",0,2,10,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-10-09",1,9,10,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-10-16",1,16,10,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-10-23",0,23,10,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-10-30",1,30,10,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-11-06",1,6,11,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-11-13",0,13,11,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-11-20",0,20,11,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-11-27",0,27,11,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-12-04",0,4,12,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-12-11",0,11,12,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-12-18",1,18,12,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-12-25",0,25,12,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-01-01",0,1,1,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-01-08",1,8,1,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-01-15",0,15,1,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-01-22",0,22,1,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-01-29",1,29,1,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-02-05",0,5,2,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-02-12",0,12,2,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-02-19",0,19,2,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-02-26",1,26,2,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-03-04",0,4,3,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-03-11",0,11,3,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2024-03-18",0,18,3,2024,0,0,0,0,S,"2023-05-11","2999-01-01"
